IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,182713,2020-03-20T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,182714,2020-03-22T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,1,182715,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,182716,2020-03-18T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,182717,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Kiel,A80+,W,2,0,182718,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A00-A04,M,1,0,182719,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,182720,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,182721,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,182722,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,182723,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,182724,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,182725,2020-03-08T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,182726,2020-03-17T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,182727,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,182728,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,182729,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182730,2020-02-29T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182731,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182732,2020-03-15T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182733,2020-03-17T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182734,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182735,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,182736,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,3,0,182737,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,182738,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,182739,2020-03-12T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,182740,2020-03-13T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,182741,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,182742,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,182743,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,182744,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,182745,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A60-A79,W,3,0,182746,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,A80+,M,1,0,182747,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Lübeck,unbekannt,W,1,0,182748,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,182749,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A15-A34,M,1,0,182750,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A15-A34,W,1,0,182751,2020-03-20T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A35-A59,M,2,0,182752,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,182753,2020-03-16T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,182754,2020-03-18T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,182755,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A60-A79,W,1,0,182756,2020-03-20T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,SK Neumünster,A80+,W,1,0,182757,2020-03-23T00:00:00.000Z,01004,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,182758,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,182759,2020-03-05T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,182760,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,182761,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,182762,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,182763,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,182764,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00
